Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-07-03 01:41,flip,53273,10,265795,520,0.20,50,1180,0.44,-45,-0.02,520,0.05,445
1,Entry long,2026-07-02 18:13,L,53159,10,265795,520,0.20,50,1180,0.44,-45,-0.02,520,0.05,445
2,Exit short,2026-07-05 19:03,flip,53186,16,426184,616,0.14,80,1568,0.37,-624,-0.15,1136,0.11,735
2,Entry short,2026-07-03 01:41,S,53273,16,426184,616,0.14,80,1568,0.37,-624,-0.15,1136,0.11,735
3,Exit long,2026-07-05 23:00,flip,53184,16,425488,-96,-0.02,80,848,0.20,-144,-0.03,1040,0.10,237
3,Entry long,2026-07-05 19:03,L,53186,16,425488,-96,-0.02,80,848,0.20,-144,-0.03,1040,0.10,237
4,Exit short,2026-07-06 03:32,flip,53234,15,398880,-450,-0.11,75,240,0.06,-510,-0.13,590,0.06,264
4,Entry short,2026-07-05 23:00,S,53184,15,398880,-450,-0.11,75,240,0.06,-510,-0.13,590,0.06,264
5,Exit long,2026-07-06 06:03,flip,53198,14,372638,-322,-0.09,70,490,0.13,-434,-0.12,268,0.03,151
5,Entry long,2026-07-06 03:32,L,53234,14,372638,-322,-0.09,70,490,0.13,-434,-0.12,268,0.03,151
6,Exit short,2026-07-06 11:39,flip,53189,15,398985,-7.5,0.00,75,1732.5,0.43,-1432.5,-0.36,260.5,0.03,336
6,Entry short,2026-07-06 06:03,S,53198,15,398985,-7.5,0.00,75,1732.5,0.43,-1432.5,-0.36,260.5,0.03,336
7,Exit long,2026-07-06 16:45,session 4:45,53411,5,132972.5,530,0.40,25,557.5,0.42,-132.5,-0.10,790.5,0.08,306
7,Entry long,2026-07-06 11:39,L,53189,5,132972.5,530,0.40,25,557.5,0.42,-132.5,-0.10,790.5,0.08,306
8,Exit long,2026-07-07 00:52,flip,53390,15,400935,-585,-0.15,75,0,0.00,-585,-0.15,205.5,0.02,179
8,Entry long,2026-07-06 21:52,L,53458,15,400935,-585,-0.15,75,0,0.00,-585,-0.15,205.5,0.02,179
9,Exit short,2026-07-07 04:13,flip,53445,18,480510,-585,-0.12,90,396,0.08,-837,-0.17,-379.5,-0.04,201
9,Entry short,2026-07-07 00:52,S,53390,18,480510,-585,-0.12,90,396,0.08,-837,-0.17,-379.5,-0.04,201
10,Exit long,2026-07-07 10:23,flip,53311,11,293947.5,-792,-0.27,55,1149.5,0.39,-1105.5,-0.38,-1171.5,-0.12,370
10,Entry long,2026-07-07 04:13,L,53445,11,293947.5,-792,-0.27,55,1149.5,0.39,-1105.5,-0.38,-1171.5,-0.12,370
11,Exit short,2026-07-07 16:45,session 4:45,53173,3,79966.5,192,0.24,15,340.5,0.43,-45,-0.06,-979.5,-0.10,382
11,Entry short,2026-07-07 10:23,S,53311,3,79966.5,192,0.24,15,340.5,0.43,-45,-0.06,-979.5,-0.10,382
12,Exit short,2026-07-07 21:13,flip,53196,17,451894,-357,-0.08,85,544,0.12,-425,-0.09,-1336.5,-0.13,139
12,Entry short,2026-07-07 18:52,S,53164,17,451894,-357,-0.08,85,544,0.12,-425,-0.09,-1336.5,-0.13,139
13,Exit long,2026-07-07 21:54,flip,53167,13,345774,-253.5,-0.07,65,0,0.00,-292.5,-0.08,-1590,-0.16,41
13,Entry long,2026-07-07 21:13,L,53196,13,345774,-253.5,-0.07,65,0,0.00,-292.5,-0.08,-1590,-0.16,41
14,Exit short,2026-07-08 01:00,flip,53162,16,425336,-40,-0.01,80,384,0.09,-112,-0.03,-1630,-0.16,180
14,Entry short,2026-07-07 21:54,S,53167,16,425336,-40,-0.01,80,384,0.09,-112,-0.03,-1630,-0.16,180
15,Exit long,2026-07-08 01:45,flip,53124,20,531620,-480,-0.09,100,0,0.00,-540,-0.10,-2110,-0.21,45
15,Entry long,2026-07-08 01:00,L,53162,20,531620,-480,-0.09,100,0,0.00,-540,-0.10,-2110,-0.21,45
16,Exit short,2026-07-08 08:28,flip,52772,17,451554,2907,0.64,85,5576,1.23,-51,-0.01,797,0.08,403
16,Entry short,2026-07-08 01:45,S,53124,17,451554,2907,0.64,85,5576,1.23,-51,-0.01,797,0.08,403
17,Exit long,2026-07-08 10:11,flip,52688,6,158316,-282,-0.18,30,117,0.07,-528,-0.33,515,0.05,103
17,Entry long,2026-07-08 08:28,L,52772,6,158316,-282,-0.18,30,117,0.07,-528,-0.33,515,0.05,103
18,Exit short,2026-07-08 13:15,flip,52609,3,79032,103.5,0.13,15,510,0.65,-21,-0.03,618.5,0.06,184
18,Entry short,2026-07-08 10:11,S,52688,3,79032,103.5,0.13,15,510,0.65,-21,-0.03,618.5,0.06,184
19,Exit long,2026-07-08 16:45,session 4:45,52563,5,131522.5,-140,-0.11,25,192.5,0.15,-205,-0.16,478.5,0.05,210
19,Entry long,2026-07-08 13:15,L,52609,5,131522.5,-140,-0.11,25,192.5,0.15,-205,-0.16,478.5,0.05,210
20,Exit short,2026-07-08 20:08,flip,52597,11,289096.5,-242,-0.08,55,5.5,0.00,-280.5,-0.10,236.5,0.02,107
20,Entry short,2026-07-08 18:18,S,52563,11,289096.5,-242,-0.08,55,5.5,0.00,-280.5,-0.10,236.5,0.02,107
21,Exit long,2026-07-09 05:07,flip,52656,11,289283.5,269.5,0.09,55,869,0.30,-88,-0.03,506,0.05,535
21,Entry long,2026-07-08 20:08,L,52597,11,289283.5,269.5,0.09,55,869,0.30,-88,-0.03,506,0.05,535
22,Exit short,2026-07-09 09:01,flip,52677,10,263280,-155,-0.06,50,745,0.28,-180,-0.07,351,0.04,234
22,Entry short,2026-07-09 05:07,S,52656,10,263280,-155,-0.06,50,745,0.28,-180,-0.07,351,0.04,234
23,Exit long,2026-07-09 15:29,flip,52714,8,210708,108,0.05,40,736,0.35,-540,-0.26,459,0.05,388
23,Entry long,2026-07-09 09:01,L,52677,8,210708,108,0.05,40,736,0.35,-540,-0.26,459,0.05,388
