Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-07-03 04:23,flip,3016.9,13,195760.5,273,0.14,65,838.5,0.43,-130,-0.07,273,0.03,591
1,Entry long,2026-07-02 18:14,L,3011.7,13,195760.5,273,0.14,65,838.5,0.43,-130,-0.07,273,0.03,591
2,Exit short,2026-07-03 11:17,flip,3022.8,20,301690,-690,-0.23,100,130,0.04,-710,-0.24,-417,-0.04,399
2,Entry short,2026-07-03 04:23,S,3016.9,20,301690,-690,-0.23,100,130,0.04,-710,-0.24,-417,-0.04,399
3,Exit long,2026-07-05 21:22,flip,3019.4,16,241824,-352,-0.15,80,168,0.07,-832,-0.34,-769,-0.08,302
3,Entry long,2026-07-03 11:17,L,3022.8,16,241824,-352,-0.15,80,168,0.07,-832,-0.34,-769,-0.08,302
4,Exit short,2026-07-06 01:15,flip,3015.4,13,196261,195,0.10,65,793,0.40,-78,-0.04,-574,-0.06,232
4,Entry short,2026-07-05 21:22,S,3019.4,13,196261,195,0.10,65,793,0.40,-78,-0.04,-574,-0.06,232
5,Exit long,2026-07-06 14:54,flip,3032.4,20,301540,1600,0.53,100,2630,0.87,-360,-0.12,1026,0.10,800
5,Entry long,2026-07-06 01:15,L,3015.4,20,301540,1600,0.53,100,2630,0.87,-360,-0.12,1026,0.10,800
6,Exit short,2026-07-06 16:45,session 4:45,3033.1,12,181944,-102,-0.06,60,450,0.25,-102,-0.06,924,0.09,111
6,Entry short,2026-07-06 14:54,S,3032.4,12,181944,-102,-0.06,60,450,0.25,-102,-0.06,924,0.09,111
7,Exit short,2026-07-07 03:06,flip,3025.8,20,303350,670,0.22,100,1660,0.55,-60,-0.02,1594,0.16,472
7,Entry short,2026-07-06 19:14,S,3033.5,20,303350,670,0.22,100,1660,0.55,-60,-0.02,1594,0.16,472
8,Exit long,2026-07-07 10:22,flip,2997,16,242064,-2384,-0.98,80,1312,0.54,-2824,-1.17,-790,-0.08,435
8,Entry long,2026-07-07 03:06,L,3025.8,16,242064,-2384,-0.98,80,1312,0.54,-2824,-1.17,-790,-0.08,435
9,Exit short,2026-07-07 16:45,session 4:45,2996.6,3,44955,-9,-0.02,15,112.5,0.25,-283.5,-0.63,-799,-0.08,383
9,Entry short,2026-07-07 10:22,S,2997,3,44955,-9,-0.02,15,112.5,0.25,-283.5,-0.63,-799,-0.08,383
10,Exit short,2026-07-07 21:12,flip,3003.1,16,239536,-792,-0.33,80,304,0.13,-848,-0.35,-1591,-0.16,155
10,Entry short,2026-07-07 18:37,S,2994.2,16,239536,-792,-0.33,80,304,0.13,-848,-0.35,-1591,-0.16,155
11,Exit long,2026-07-07 22:31,flip,2996.7,10,150155,-370,-0.25,50,15,0.01,-400,-0.27,-1961,-0.20,79
11,Entry long,2026-07-07 21:12,L,3003.1,10,150155,-370,-0.25,50,15,0.01,-400,-0.27,-1961,-0.20,79
12,Exit short,2026-07-08 08:01,flip,2973,12,179802,1362,0.76,60,2760,1.53,-426,-0.24,-599,-0.06,564
12,Entry short,2026-07-07 22:31,S,2996.7,12,179802,1362,0.76,60,2760,1.53,-426,-0.24,-599,-0.06,564
13,Exit long,2026-07-08 11:13,flip,2957.7,5,74325,-407.5,-0.55,25,362.5,0.49,-430,-0.58,-1006.5,-0.10,192
13,Entry long,2026-07-08 08:01,L,2973,5,74325,-407.5,-0.55,25,362.5,0.49,-430,-0.58,-1006.5,-0.10,192
14,Exit short,2026-07-08 14:01,flip,2970.4,4,59154,-274,-0.46,20,278,0.47,-324,-0.55,-1280.5,-0.13,168
14,Entry short,2026-07-08 11:13,S,2957.7,4,59154,-274,-0.46,20,278,0.47,-324,-0.55,-1280.5,-0.13,168
15,Exit long,2026-07-08 16:45,session 4:45,2965.5,6,89112,-177,-0.20,30,135,0.15,-306,-0.34,-1457.5,-0.15,164
15,Entry long,2026-07-08 14:01,L,2970.4,6,89112,-177,-0.20,30,135,0.15,-306,-0.34,-1457.5,-0.15,164
16,Exit short,2026-07-08 20:03,flip,2969.1,11,163075,-280.5,-0.17,55,27.5,0.02,-313.5,-0.19,-1738,-0.17,104
16,Entry short,2026-07-08 18:18,S,2965,11,163075,-280.5,-0.17,55,27.5,0.02,-313.5,-0.19,-1738,-0.17,104
17,Exit long,2026-07-09 16:22,flip,3009.4,12,178146,2358,1.32,60,2718,1.53,-78,-0.04,620,0.06,1213
17,Entry long,2026-07-08 20:03,L,2969.1,12,178146,2358,1.32,60,2718,1.53,-78,-0.04,620,0.06,1213
18,Exit short,2026-07-09 16:45,session 4:45,3006.7,15,225705,127.5,0.06,75,165,0.07,-45,-0.02,747.5,0.07,23
18,Entry short,2026-07-09 16:22,S,3009.4,15,225705,127.5,0.06,75,165,0.07,-45,-0.02,747.5,0.07,23
19,Exit short,2026-07-10 02:30,flip,3004.6,11,165302.5,-5.5,0.00,55,434.5,0.26,-104.5,-0.06,742,0.07,485
19,Entry short,2026-07-09 18:10,S,3005.5,11,165302.5,-5.5,0.00,55,434.5,0.26,-104.5,-0.06,742,0.07,485
20,Exit long,2026-07-10 05:01,flip,2999,17,255391,-561,-0.22,85,136,0.05,-595,-0.23,181,0.02,149
20,Entry long,2026-07-10 02:30,L,3004.6,17,255391,-561,-0.22,85,136,0.05,-595,-0.23,181,0.02,149
21,Exit short,2026-07-10 06:24,flip,3005.5,13,194935,-487.5,-0.25,65,0,0.00,-487.5,-0.25,-306.5,-0.03,83
21,Entry short,2026-07-10 05:01,S,2999,13,194935,-487.5,-0.25,65,0,0.00,-487.5,-0.25,-306.5,-0.03,83
