Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-07-03 12:22,flip,29896.75,2,118306,1271,1.07,10,1513,1.28,-221,-0.19,1271,0.13,1089
1,Entry long,2026-07-02 18:13,L,29576.5,2,118306,1271,1.07,10,1513,1.28,-221,-0.19,1271,0.13,1089
2,Exit short,2026-07-05 19:12,flip,29992.75,4,239174,-788,-0.33,20,280,0.12,-792,-0.33,483,0.05,110
2,Entry short,2026-07-03 12:22,S,29896.75,4,239174,-788,-0.33,20,280,0.12,-792,-0.33,483,0.05,110
3,Exit long,2026-07-05 21:38,flip,29826,2,119971,-677,-0.56,10,64,0.05,-885,-0.74,-194,-0.02,146
3,Entry long,2026-07-05 19:12,L,29992.75,2,119971,-677,-0.56,10,64,0.05,-885,-0.74,-194,-0.02,146
4,Exit short,2026-07-06 03:05,flip,29855.25,1,59652,-63.5,-0.11,5,283,0.47,-73,-0.12,-257.5,-0.03,327
4,Entry short,2026-07-05 21:38,S,29826,1,59652,-63.5,-0.11,5,283,0.47,-73,-0.12,-257.5,-0.03,327
5,Exit long,2026-07-06 13:52,flip,29912.5,2,119421,219,0.18,10,950,0.80,-322,-0.27,-38.5,0.00,647
5,Entry long,2026-07-06 03:05,L,29855.25,2,119421,219,0.18,10,950,0.80,-322,-0.27,-38.5,0.00,647
6,Exit short,2026-07-06 15:45,flip,30032.75,2,119650,-491,-0.41,10,99,0.08,-563,-0.47,-529.5,-0.05,113
6,Entry short,2026-07-06 13:52,S,29912.5,2,119650,-491,-0.41,10,99,0.08,-563,-0.47,-529.5,-0.05,113
7,Exit long,2026-07-06 16:20,flip,29961,2,120131,-297,-0.25,10,7,0.01,-410,-0.34,-826.5,-0.08,35
7,Entry long,2026-07-06 15:45,L,30032.75,2,120131,-297,-0.25,10,7,0.01,-410,-0.34,-826.5,-0.08,35
8,Exit short,2026-07-06 16:45,session 4:45,29956.25,2,119844,9,0.01,10,36,0.03,-24,-0.02,-817.5,-0.08,25
8,Entry short,2026-07-06 16:20,S,29961,2,119844,9,0.01,10,36,0.03,-24,-0.02,-817.5,-0.08,25
9,Exit short,2026-07-07 04:39,flip,29694.75,3,179661,1477.5,0.82,15,2308.5,1.28,-190.5,-0.11,660,0.07,632
9,Entry short,2026-07-06 18:07,S,29943.5,3,179661,1477.5,0.82,15,2308.5,1.28,-190.5,-0.11,660,0.07,632
10,Exit long,2026-07-07 05:43,flip,29648.75,2,118779,-194,-0.16,10,36,0.03,-265,-0.22,466,0.05,64
10,Entry long,2026-07-07 04:39,L,29694.75,2,118779,-194,-0.16,10,36,0.03,-265,-0.22,466,0.05,64
11,Exit short,2026-07-07 08:27,flip,29685.25,2,118595,-156,-0.13,10,225,0.19,-275,-0.23,310,0.03,164
11,Entry short,2026-07-07 05:43,S,29648.75,2,118595,-156,-0.13,10,225,0.19,-275,-0.23,310,0.03,164
12,Exit long,2026-07-07 09:15,flip,29631,2,118741,-227,-0.19,10,87,0.07,-296,-0.25,83,0.01,48
12,Entry long,2026-07-07 08:27,L,29685.25,2,118741,-227,-0.19,10,87,0.07,-296,-0.25,83,0.01,48
13,Exit short,2026-07-07 13:00,flip,29546,2,118524,330,0.28,10,1680,1.42,-226,-0.19,413,0.04,225
13,Entry short,2026-07-07 09:15,S,29631,2,118524,330,0.28,10,1680,1.42,-226,-0.19,413,0.04,225
14,Exit long,2026-07-07 15:40,flip,29314.25,1,59092,-468.5,-0.79,5,67.5,0.11,-553.5,-0.94,-55.5,-0.01,160
14,Entry long,2026-07-07 13:00,L,29546,1,59092,-468.5,-0.79,5,67.5,0.11,-553.5,-0.94,-55.5,-0.01,160
15,Exit short,2026-07-07 16:45,session 4:45,29414,1,58628.5,-204.5,-0.35,5,16,0.03,-248.5,-0.42,-260,-0.03,65
15,Entry short,2026-07-07 15:40,S,29314.25,1,58628.5,-204.5,-0.35,5,16,0.03,-248.5,-0.42,-260,-0.03,65
16,Exit short,2026-07-07 20:37,flip,29446,2,117486,-308,-0.26,10,417,0.35,-432,-0.37,-568,-0.06,132
16,Entry short,2026-07-07 18:25,S,29371.5,2,117486,-308,-0.26,10,417,0.35,-432,-0.37,-568,-0.06,132
17,Exit long,2026-07-08 01:17,flip,29402.75,1,58892,-91.5,-0.16,5,221.5,0.38,-142,-0.24,-659.5,-0.07,280
17,Entry long,2026-07-07 20:37,L,29446,1,58892,-91.5,-0.16,5,221.5,0.38,-142,-0.24,-659.5,-0.07,280
18,Exit short,2026-07-08 08:27,flip,29155,2,117611,981,0.83,10,1965,1.67,-89,-0.08,321.5,0.03,430
18,Entry short,2026-07-08 01:17,S,29402.75,2,117611,981,0.83,10,1965,1.67,-89,-0.08,321.5,0.03,430
19,Exit long,2026-07-08 11:48,flip,29091.5,2,116620,-264,-0.23,10,971,0.83,-489,-0.42,57.5,0.01,201
19,Entry long,2026-07-08 08:27,L,29155,2,116620,-264,-0.23,10,971,0.83,-489,-0.42,57.5,0.01,201
20,Exit short,2026-07-08 12:39,flip,29295.75,1,58183,-413.5,-0.71,5,78.5,0.13,-481.5,-0.83,-356,-0.04,51
20,Entry short,2026-07-08 11:48,S,29091.5,1,58183,-413.5,-0.71,5,78.5,0.13,-481.5,-0.83,-356,-0.04,51
21,Exit long,2026-07-08 16:45,session 4:45,29382.75,1,58591.5,169,0.29,5,406,0.69,-43,-0.07,-187,-0.02,246
21,Entry long,2026-07-08 12:39,L,29295.75,1,58591.5,169,0.29,5,406,0.69,-43,-0.07,-187,-0.02,246
22,Exit long,2026-07-08 23:10,flip,29422.25,2,117734,-55,-0.05,10,591,0.50,-159,-0.14,-242,-0.02,276
22,Entry long,2026-07-08 18:34,L,29433.5,2,117734,-55,-0.05,10,591,0.50,-159,-0.14,-242,-0.02,276
23,Exit short,2026-07-09 00:01,flip,29512.5,1,58844.5,-185.5,-0.32,5,50,0.08,-195.5,-0.33,-427.5,-0.04,51
23,Entry short,2026-07-08 23:10,S,29422.25,1,58844.5,-185.5,-0.32,5,50,0.08,-195.5,-0.33,-427.5,-0.04,51
24,Exit long,2026-07-09 07:07,flip,29584.75,2,118050,279,0.24,10,889,0.75,-206,-0.17,-148.5,-0.01,426
24,Entry long,2026-07-09 00:01,L,29512.5,2,118050,279,0.24,10,889,0.75,-206,-0.17,-148.5,-0.01,426
25,Exit short,2026-07-09 08:02,flip,29707.25,2,118339,-500,-0.42,10,20,0.02,-549,-0.46,-648.5,-0.06,55
25,Entry short,2026-07-09 07:07,S,29584.75,2,118339,-500,-0.42,10,20,0.02,-549,-0.46,-648.5,-0.06,55
26,Exit long,2026-07-09 16:45,session 4:45,29934.75,2,118829,900,0.76,10,1139,0.96,-379,-0.32,251.5,0.03,523
26,Entry long,2026-07-09 08:02,L,29707.25,2,118829,900,0.76,10,1139,0.96,-379,-0.32,251.5,0.03,523
