Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-07-02 22:12,flip,68.94,16,109392,-992,-0.91,80,56,0.05,-1048,-0.96,-992,-0.10,114
1,Entry short,2026-07-02 20:15,S,68.37,16,109392,-992,-0.91,80,56,0.05,-1048,-0.96,-992,-0.10,114
2,Exit long,2026-07-03 03:03,flip,68.94,9,62046,-45,-0.07,45,265.5,0.43,-130.5,-0.21,-1037,-0.10,285
2,Entry long,2026-07-02 22:12,L,68.94,9,62046,-45,-0.07,45,265.5,0.43,-130.5,-0.21,-1037,-0.10,285
3,Exit short,2026-07-03 10:32,flip,68.76,11,75834,143,0.19,55,918.5,1.21,-49.5,-0.07,-894,-0.09,449
3,Entry short,2026-07-03 03:03,S,68.94,11,75834,143,0.19,55,918.5,1.21,-49.5,-0.07,-894,-0.09,449
4,Exit long,2026-07-05 18:29,flip,68.37,8,55008,-352,-0.64,40,44,0.08,-380,-0.69,-1246,-0.12,177
4,Entry long,2026-07-03 10:32,L,68.76,8,55008,-352,-0.64,40,44,0.08,-380,-0.69,-1246,-0.12,177
5,Exit short,2026-07-05 21:45,flip,68.62,10,68370,-300,-0.44,50,185,0.27,-385,-0.56,-1546,-0.15,196
5,Entry short,2026-07-05 18:29,S,68.37,10,68370,-300,-0.44,50,185,0.27,-385,-0.56,-1546,-0.15,196
6,Exit long,2026-07-05 23:53,flip,68.43,10,68620,-240,-0.35,50,515,0.75,-285,-0.42,-1786,-0.18,128
6,Entry long,2026-07-05 21:45,L,68.62,10,68620,-240,-0.35,50,515,0.75,-285,-0.42,-1786,-0.18,128
7,Exit short,2026-07-06 01:26,flip,68.75,16,109488,-592,-0.54,80,8,0.01,-584,-0.53,-2378,-0.24,92
7,Entry short,2026-07-05 23:53,S,68.43,16,109488,-592,-0.54,80,8,0.01,-584,-0.53,-2378,-0.24,92
8,Exit long,2026-07-06 03:30,flip,68.5,20,137500,-600,-0.44,100,850,0.62,-730,-0.53,-2978,-0.30,124
8,Entry long,2026-07-06 01:26,L,68.75,20,137500,-600,-0.44,100,850,0.62,-730,-0.53,-2978,-0.30,124
9,Exit short,2026-07-06 07:14,flip,68.64,9,61650,-171,-0.28,45,598.5,0.97,-265.5,-0.43,-3149,-0.31,223
9,Entry short,2026-07-06 03:30,S,68.5,9,61650,-171,-0.28,45,598.5,0.97,-265.5,-0.43,-3149,-0.31,223
10,Exit long,2026-07-06 08:47,flip,68.28,9,61776,-369,-0.60,45,76.5,0.12,-472.5,-0.76,-3518,-0.35,93
10,Entry long,2026-07-06 07:14,L,68.64,9,61776,-369,-0.60,45,76.5,0.12,-472.5,-0.76,-3518,-0.35,93
11,Exit short,2026-07-06 09:53,flip,68.66,8,54624,-344,-0.63,40,148,0.27,-556,-1.02,-3862,-0.39,66
11,Entry short,2026-07-06 08:47,S,68.28,8,54624,-344,-0.63,40,148,0.27,-556,-1.02,-3862,-0.39,66
12,Exit long,2026-07-06 12:49,flip,68.35,6,41196,-216,-0.52,30,255,0.62,-249,-0.60,-4078,-0.41,176
12,Entry long,2026-07-06 09:53,L,68.66,6,41196,-216,-0.52,30,255,0.62,-249,-0.60,-4078,-0.41,176
13,Exit short,2026-07-06 15:43,flip,68.7,10,68350,-400,-0.59,50,105,0.15,-415,-0.61,-4478,-0.45,172
13,Entry short,2026-07-06 12:49,S,68.35,10,68350,-400,-0.59,50,105,0.15,-415,-0.61,-4478,-0.45,172
14,Exit long,2026-07-06 16:45,session 4:45,68.65,19,130530,-190,-0.15,95,85.5,0.07,-199.5,-0.15,-4668,-0.47,57
14,Entry long,2026-07-06 15:43,L,68.7,19,130530,-190,-0.15,95,85.5,0.07,-199.5,-0.15,-4668,-0.47,57
15,Exit long,2026-07-07 05:52,flip,69.23,15,103275,495,0.48,75,1312.5,1.27,-382.5,-0.37,-4173,-0.42,534
15,Entry long,2026-07-06 20:55,L,68.85,15,103275,495,0.48,75,1312.5,1.27,-382.5,-0.37,-4173,-0.42,534
16,Exit short,2026-07-07 06:13,flip,69.2,8,55384,-16,-0.03,40,92,0.17,-92,-0.17,-4189,-0.42,21
