Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MCL SEP26,Buy,1,90.54,7/24/2026 4:50:01 PM,474083431392_1,Exit,-,474083431392,Close,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Buy,1,28297.25,7/24/2026 4:50:00 PM,474083431381_1,Exit,-,474083431381,Close,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Sell,4,2943.4,7/24/2026 4:50:00 PM,474083431370_1,Exit,-,474083431370,Close,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Sell,1,28472.25,7/24/2026 12:55:01 PM,474083431361_1,Entry,1 S,474083431361,,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Sell,1,28473.00,7/24/2026 12:55:00 PM,474083431350_1,Exit,-,474083431350,Close,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Buy,1,28673.00,7/24/2026 8:10:02 AM,474083431341_1,Entry,1 L,474083431341,,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Buy,1,28673.50,7/24/2026 8:10:01 AM,474083431330_1,Exit,-,474083431330,Close,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Buy,4,2963.2,7/24/2026 8:05:06 AM,474083431321_1,Entry,4 L,474083431321,,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Buy,7,2963.3,7/24/2026 8:05:06 AM,474083431310_1,Exit,-,474083431310,Close,$0.00,1,DEMO7298826,Simulation,
MCL SEP26,Sell,1,89.64,7/24/2026 8:05:03 AM,474083431302_1,Entry,1 S,474083431302,,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Sell,7,2945.8,7/24/2026 2:15:00 AM,474083431293_1,Entry,7 S,474083431293,,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Sell,1,28655.50,7/23/2026 9:30:01 PM,474083431283_1,Entry,1 S,474083431283,,$0.00,1,DEMO7298826,Simulation,
MYM SEP26,Buy,3,51893,7/23/2026 4:50:31 PM,474083431265_1,Exit,-,474083431265,Close,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Buy,3,2949.9,7/23/2026 4:50:02 PM,474083431254_1,Exit,-,474083431254,Close,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Sell,3,2943.0,7/23/2026 1:35:01 PM,474083431245_1,Entry,3 S,474083431245,,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Sell,5,2943.0,7/23/2026 1:35:01 PM,474083431234_1,Exit,-,474083431234,Close,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Buy,5,2969.0,7/23/2026 6:35:15 AM,474083431225_1,Entry,5 L,474083431225,,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Buy,5,2969.1,7/23/2026 6:35:15 AM,474083431214_1,Exit,-,474083431214,Close,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Sell,5,2968.2,7/22/2026 6:20:05 PM,474083431205_1,Entry,5 S,474083431205,,$0.00,1,DEMO7298826,Simulation,
MYM SEP26,Sell,3,52401,7/22/2026 6:05:01 PM,474083431196_1,Entry,3 S,474083431196,,$0.00,1,DEMO7298826,Simulation,
MYM SEP26,Buy,8,52505,7/22/2026 4:50:02 PM,474083431176_1,Exit,-,474083431176,Close,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Buy,4,2972.2,7/22/2026 4:50:02 PM,474083431165_1,Exit,-,474083431165,Close,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Buy,1,29190.75,7/22/2026 4:50:01 PM,474083431154_1,Exit,-,474083431154,Close,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Sell,4,2984.5,7/22/2026 9:15:01 AM,474083431145_1,Entry,4 S,474083431145,,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Sell,1,29067.25,7/22/2026 4:15:00 AM,474083431136_1,Entry,1 S,474083431136,,$0.00,1,DEMO7298826,Simulation,
MYM SEP26,Sell,8,52413,7/21/2026 11:50:04 PM,474083431127_1,Entry,8 S,474083431127,,$0.00,1,DEMO7298826,Simulation,
MCL SEP26,Sell,2,84.46,7/21/2026 4:50:06 PM,474083431107_1,Exit,-,474083431107,Close,$0.00,1,DEMO7298826,Simulation,
MYM SEP26,Sell,4,52416,7/21/2026 4:50:02 PM,474083431096_1,Exit,-,474083431096,Close,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Buy,4,2994.7,7/21/2026 4:50:01 PM,474083431085_1,Exit,-,474083431085,Close,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Sell,1,29283.00,7/21/2026 4:50:00 PM,474083431074_1,Exit,-,474083431074,Close,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Buy,1,29340.25,7/21/2026 3:55:01 PM,474083431065_1,Entry,1 L,474083431065,,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Buy,1,29336.75,7/21/2026 3:55:01 PM,474083431054_1,Exit,-,474083431054,Close,$0.00,1,DEMO7298826,Simulation,
MCL SEP26,Buy,2,84.40,7/21/2026 2:35:03 PM,474083431047_1,Entry,2 L,474083431047,,$0.00,1,DEMO7298826,Simulation,
MCL SEP26,Buy,4,84.40,7/21/2026 2:35:03 PM,474083431038_1,Exit,-,474083431038,Close,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Sell,1,29146.00,7/21/2026 9:50:01 AM,474083431029_1,Entry,1 S,474083431029,,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Sell,1,29145.25,7/21/2026 9:50:00 AM,474083431018_1,Exit,-,474083431018,Close,$0.00,1,DEMO7298826,Simulation,
MNQ SEP26,Buy,1,29178.25,7/21/2026 7:50:02 AM,474083431008_1,Entry,1 L,474083431008,,$0.00,1,DEMO7298826,Simulation,
MYM SEP26,Buy,4,52256,7/21/2026 4:20:01 AM,474083430999_1,Entry,4 L,474083430999,,$0.00,1,DEMO7298826,Simulation,
MCL SEP26,Sell,4,81.91,7/21/2026 1:50:00 AM,474083430992_1,Entry,4 S,474083430992,,$0.00,1,DEMO7298826,Simulation,
M2K SEP26,Sell,4,2955.1,7/20/2026 8:25:05 PM,474083430982_1,Entry,4 S,474083430982,,$0.00,1,DEMO7298826,Simulation,
MCL SEP26,Buy,1,82.48,7/20/2026 4:50:04 PM,474083430966_1,Exit,-,474083430966,Close,$0.00,1,DEMO7298826,Simulation,
MYM SEP26,Sell,2,52083,7/20/2026 4:50:03 PM,474083430955_1,Exit,-,474083430955,Close,$0.00,1,DEMO7298826,Simulation,
MCL SEP26,Sell,1,81.18,7/20/2026 9:35:10 AM,474083430948_1,Entry,1 S,474083430948,,$0.00,1,DEMO7298826,Simulation,
MCL SEP26,Sell,3,81.18,7/20/2026 9:35:10 AM,474083430939_1,Exit,-,474083430939,Close,$0.00,1,DEMO7298826,Simulation,
MYM SEP26,Buy,2,52499,7/20/2026 9:35:01 AM,474083430930_1,Entry,2 L,474083430930,,$0.00,1,DEMO7298826,Simulation,
MYM SEP26,Buy,4,52499,7/20/2026 9:35:01 AM,474083430919_1,Exit,-,474083430919,Close,$0.00,1,DEMO7298826,Simulation,
MCL SEP26,Buy,3,83.81,7/19/2026 9:50:05 PM,474083430911_1,Entry,3 L,474083430911,,$0.00,1,DEMO7298826,Simulation,
MYM SEP26,Sell,4,52322,7/19/2026 9:45:07 PM,474083430900_1,Entry,4 S,474083430900,,$0.00,1,DEMO7298826,Simulation,
