Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MCL SEP26,Buy to cover,Market,1,0,0,Filled,1,90.54,0,Close,,,DAY,DEMO7298826,474083431392,7/24/2026 4:50:01 PM,,
MNQ SEP26,Buy to cover,Market,1,0,0,Filled,1,28297.25,0,Close,,,DAY,DEMO7298826,474083431381,7/24/2026 4:50:00 PM,,
M2K SEP26,Sell,Market,4,0,0,Filled,4,2943.4,0,Close,,,DAY,DEMO7298826,474083431370,7/24/2026 4:50:00 PM,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,28472.25,0,,,,DAY,DEMO7298826,474083431361,7/24/2026 12:55:01 PM,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,28473,0,Close,,,DAY,DEMO7298826,474083431350,7/24/2026 12:55:00 PM,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,28673,0,,,,DAY,DEMO7298826,474083431341,7/24/2026 8:10:02 AM,,
MNQ SEP26,Buy to cover,Market,1,0,0,Filled,1,28673.5,0,Close,,,DAY,DEMO7298826,474083431330,7/24/2026 8:10:01 AM,,
M2K SEP26,Buy,Market,4,0,0,Filled,4,2963.2,0,,,,DAY,DEMO7298826,474083431321,7/24/2026 8:05:06 AM,,
M2K SEP26,Buy to cover,Market,7,0,0,Filled,7,2963.3,0,Close,,,DAY,DEMO7298826,474083431310,7/24/2026 8:05:06 AM,,
MCL SEP26,Sell,Market,1,0,0,Filled,1,89.64,0,,,,DAY,DEMO7298826,474083431302,7/24/2026 8:05:03 AM,,
M2K SEP26,Sell,Market,7,0,0,Filled,7,2945.8,0,,,,DAY,DEMO7298826,474083431293,7/24/2026 2:15:00 AM,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,28655.5,0,,,,DAY,DEMO7298826,474083431283,7/23/2026 9:30:01 PM,,
MYM SEP26,Buy to cover,Market,3,0,0,Filled,3,51893,0,Close,,,DAY,DEMO7298826,474083431265,7/23/2026 4:50:31 PM,,
M2K SEP26,Buy to cover,Market,3,0,0,Filled,3,2949.9,0,Close,,,DAY,DEMO7298826,474083431254,7/23/2026 4:50:02 PM,,
M2K SEP26,Sell,Market,3,0,0,Filled,3,2943,0,,,,DAY,DEMO7298826,474083431245,7/23/2026 1:35:01 PM,,
M2K SEP26,Sell,Market,5,0,0,Filled,5,2943,0,Close,,,DAY,DEMO7298826,474083431234,7/23/2026 1:35:01 PM,,
M2K SEP26,Buy,Market,5,0,0,Filled,5,2969,0,,,,DAY,DEMO7298826,474083431225,7/23/2026 6:35:15 AM,,
M2K SEP26,Buy to cover,Market,5,0,0,Filled,5,2969.1,0,Close,,,DAY,DEMO7298826,474083431214,7/23/2026 6:35:15 AM,,
