Time,Category,Message,
7/24/2026 4:50:01 PM,Position,Instrument='MCL SEP26' Account='DEMO7298826' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/24/2026 4:50:01 PM,Execution,Execution='474083431392_1' Instrument='MCL SEP26' Account='DEMO7298826' Exchange=Default Price=90.54 Quantity=1 Market position=Long Operation=Operation_Add Order='474083431392' Time='7/24/2026 4:50 PM',
7/24/2026 4:50:01 PM,Order,Order='474083431392/DEMO7298826' Name='Close' New state='Filled' Instrument='MCL SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=1 Fill price=90.54 Error='No error' Native error='',
7/24/2026 4:50:01 PM,Order,Order='474083431392/DEMO7298826' Name='Close' New state='Working' Instrument='MCL SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 4:50:01 PM,Order,Order='474083431392/DEMO7298826' Name='Close' New state='Accepted' Instrument='MCL SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 4:50:01 PM,Order,Order='474083431392/DEMO7298826' Name='Close' New state='Submitted' Instrument='MCL SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 4:50:01 PM,Position,Flatten account='DEMO7298826',
7/24/2026 4:50:01 PM,Position,Instrument='MNQ SEP26' Account='DEMO7298826' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/24/2026 4:50:01 PM,Execution,Execution='474083431381_1' Instrument='MNQ SEP26' Account='DEMO7298826' Exchange=Default Price=28297.25 Quantity=1 Market position=Long Operation=Operation_Add Order='474083431381' Time='7/24/2026 4:50 PM',
7/24/2026 4:50:01 PM,Order,Order='474083431381/DEMO7298826' Name='Close' New state='Filled' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=1 Fill price=28297.25 Error='No error' Native error='',
7/24/2026 4:50:01 PM,Order,Order='474083431381/DEMO7298826' Name='Close' New state='Working' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 4:50:01 PM,Order,Order='474083431381/DEMO7298826' Name='Close' New state='Accepted' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 4:50:01 PM,Order,Order='474083431381/DEMO7298826' Name='Close' New state='Submitted' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 4:50:01 PM,Position,Instrument='M2K SEP26' Account='DEMO7298826' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/24/2026 4:50:01 PM,Execution,Execution='474083431370_1' Instrument='M2K SEP26' Account='DEMO7298826' Exchange=Default Price=2943.4 Quantity=4 Market position=Short Operation=Operation_Add Order='474083431370' Time='7/24/2026 4:50 PM',
7/24/2026 4:50:01 PM,Order,Order='474083431370/DEMO7298826' Name='Close' New state='Filled' Instrument='M2K SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=4 Type='Market' Time in force=DAY Oco='' Filled=4 Fill price=2943.4 Error='No error' Native error='',
7/24/2026 4:50:00 PM,Order,Order='474083431370/DEMO7298826' Name='Close' New state='Working' Instrument='M2K SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=4 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 4:50:00 PM,Position,Flatten account='DEMO7298826',
7/24/2026 4:50:00 PM,Order,Order='474083431370/DEMO7298826' Name='Close' New state='Accepted' Instrument='M2K SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=4 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 4:50:00 PM,Order,Order='474083431370/DEMO7298826' Name='Close' New state='Submitted' Instrument='M2K SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=4 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 4:50:00 PM,Position,Flatten account='DEMO7298826',
7/24/2026 12:55:01 PM,Position,Instrument='MNQ SEP26' Account='DEMO7298826' Average price=28472.25 Quantity=1 Market position=Short Operation=Operation_Add,
7/24/2026 12:55:01 PM,Execution,Execution='474083431361_1' Instrument='MNQ SEP26' Account='DEMO7298826' Exchange=Default Price=28472.25 Quantity=1 Market position=Short Operation=Operation_Add Order='474083431361' Time='7/24/2026 12:55 PM',
7/24/2026 12:55:01 PM,Order,Order='474083431361/DEMO7298826' Name='' New state='Filled' Instrument='MNQ SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=1 Fill price=28472.25 Error='No error' Native error='',
7/24/2026 12:55:01 PM,Order,Order='474083431361/DEMO7298826' Name='' New state='Working' Instrument='MNQ SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 12:55:01 PM,Order,Order='474083431361/DEMO7298826' Name='' New state='Accepted' Instrument='MNQ SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 12:55:01 PM,Order,Order='474083431361/DEMO7298826' Name='' New state='Submitted' Instrument='MNQ SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 12:55:00 PM,Position,Instrument='MNQ SEP26' Account='DEMO7298826' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/24/2026 12:55:00 PM,Execution,Execution='474083431350_1' Instrument='MNQ SEP26' Account='DEMO7298826' Exchange=Default Price=28473 Quantity=1 Market position=Short Operation=Operation_Add Order='474083431350' Time='7/24/2026 12:55 PM',
7/24/2026 12:55:00 PM,Order,Order='474083431350/DEMO7298826' Name='Close' New state='Filled' Instrument='MNQ SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=1 Fill price=28473 Error='No error' Native error='',
7/24/2026 12:55:00 PM,Order,Order='474083431350/DEMO7298826' Name='Close' New state='Working' Instrument='MNQ SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 12:55:00 PM,Order,Order='474083431350/DEMO7298826' Name='Close' New state='Accepted' Instrument='MNQ SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 12:55:00 PM,Order,Order='474083431350/DEMO7298826' Name='Close' New state='Submitted' Instrument='MNQ SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 12:55:00 PM,Position,Flatten account='DEMO7298826',
7/24/2026 11:41:42 AM,Default,There was a problem subscribing to tick data for MET MAR25: 'Symbol is inaccessible',
7/24/2026 11:41:42 AM,Default,There was a problem subscribing to market data for MET MAR25: 'Symbol is inaccessible',
7/24/2026 11:41:34 AM,Connection,Simulation: Primary connection=Connected Price feed=Connected,
7/24/2026 11:41:33 AM,Connection,Simulation: Primary connection=Connected Price feed=Connection lost,
7/24/2026 8:10:02 AM,Position,Instrument='MNQ SEP26' Account='DEMO7298826' Average price=28673 Quantity=1 Market position=Long Operation=Operation_Add,
7/24/2026 8:10:02 AM,Execution,Execution='474083431341_1' Instrument='MNQ SEP26' Account='DEMO7298826' Exchange=Default Price=28673 Quantity=1 Market position=Long Operation=Operation_Add Order='474083431341' Time='7/24/2026 8:10 AM',
7/24/2026 8:10:02 AM,Order,Order='474083431341/DEMO7298826' Name='' New state='Filled' Instrument='MNQ SEP26' Action='Buy' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=1 Fill price=28673 Error='No error' Native error='',
7/24/2026 8:10:02 AM,Order,Order='474083431341/DEMO7298826' Name='' New state='Working' Instrument='MNQ SEP26' Action='Buy' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 8:10:02 AM,Order,Order='474083431341/DEMO7298826' Name='' New state='Accepted' Instrument='MNQ SEP26' Action='Buy' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 8:10:02 AM,Order,Order='474083431341/DEMO7298826' Name='' New state='Submitted' Instrument='MNQ SEP26' Action='Buy' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 8:10:02 AM,Position,Instrument='MNQ SEP26' Account='DEMO7298826' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/24/2026 8:10:01 AM,Execution,Execution='474083431330_1' Instrument='MNQ SEP26' Account='DEMO7298826' Exchange=Default Price=28673.5 Quantity=1 Market position=Long Operation=Operation_Add Order='474083431330' Time='7/24/2026 8:10 AM',
7/24/2026 8:10:01 AM,Order,Order='474083431330/DEMO7298826' Name='Close' New state='Filled' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=1 Fill price=28673.5 Error='No error' Native error='',
7/24/2026 8:10:01 AM,Order,Order='474083431330/DEMO7298826' Name='Close' New state='Working' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 8:10:01 AM,Order,Order='474083431330/DEMO7298826' Name='Close' New state='Accepted' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 8:10:01 AM,Order,Order='474083431330/DEMO7298826' Name='Close' New state='Submitted' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 8:10:01 AM,Position,Flatten account='DEMO7298826',
7/24/2026 8:05:06 AM,Position,Instrument='M2K SEP26' Account='DEMO7298826' Average price=2963.2 Quantity=4 Market position=Long Operation=Operation_Add,
7/24/2026 8:05:06 AM,Execution,Execution='474083431321_1' Instrument='M2K SEP26' Account='DEMO7298826' Exchange=Default Price=2963.2 Quantity=4 Market position=Long Operation=Operation_Add Order='474083431321' Time='7/24/2026 8:05 AM',
7/24/2026 8:05:06 AM,Order,Order='474083431321/DEMO7298826' Name='' New state='Filled' Instrument='M2K SEP26' Action='Buy' Limit price=0 Stop price=0 Quantity=4 Type='Market' Time in force=DAY Oco='' Filled=4 Fill price=2963.2 Error='No error' Native error='',
7/24/2026 8:05:06 AM,Order,Order='474083431321/DEMO7298826' Name='' New state='Working' Instrument='M2K SEP26' Action='Buy' Limit price=0 Stop price=0 Quantity=4 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/24/2026 8:05:06 AM,Order,Order='474083431321/DEMO7298826' Name='' New state='Accepted' Instrument='M2K SEP26' Action='Buy' Limit price=0 Stop price=0 Quantity=4 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
