Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-05-19 16:45,session 4:45,49439,3,74526,352.5,0.47,15,531,0.71,-78,-0.10,352.5,0.04,122
1,Entry short,2026-05-19 06:35,S,49684,3,74526,352.5,0.47,15,531,0.71,-78,-0.10,352.5,0.04,122
2,Exit short,2026-05-20 04:30,flip,49469,4,98702,-256,-0.26,20,0,0.00,-296,-0.30,96.5,0.01,44
2,Entry short,2026-05-20 00:50,S,49351,4,98702,-256,-0.26,20,0,0.00,-296,-0.30,96.5,0.01,44
3,Exit long,2026-05-20 16:45,session 4:45,50041,4,98938,1124,1.14,20,1370,1.38,-344,-0.35,1220.5,0.12,147
3,Entry long,2026-05-20 04:30,L,49469,4,98938,1124,1.14,20,1370,1.38,-344,-0.35,1220.5,0.12,147
4,Exit short,2026-05-22 16:45,session 4:45,50630,3,75730.5,-229.5,-0.30,15,60,0.08,-652.5,-0.86,991,0.10,141
4,Entry short,2026-05-22 05:00,S,50487,3,75730.5,-229.5,-0.30,15,60,0.08,-652.5,-0.86,991,0.10,141
5,Exit long,2026-05-26 16:45,session 4:45,50524,7,178853.5,-2054.5,-1.15,35,367.5,0.21,-2401,-1.34,-1063.5,-0.11,347
5,Entry long,2026-05-25 06:50,L,51101,7,178853.5,-2054.5,-1.15,35,367.5,0.21,-2401,-1.34,-1063.5,-0.11,347
6,Exit short,2026-05-27 00:45,flip,50597,5,126275,-242.5,-0.19,25,10,0.01,-277.5,-0.22,-1306,-0.13,80
6,Entry short,2026-05-26 18:05,S,50510,5,126275,-242.5,-0.19,25,10,0.01,-277.5,-0.22,-1306,-0.13,80
7,Exit long,2026-05-27 16:45,session 4:45,50760,10,252985,765,0.30,50,1465,0.58,-475,-0.19,-541,-0.05,192
7,Entry long,2026-05-27 00:45,L,50597,10,252985,765,0.30,50,1465,0.58,-475,-0.19,-541,-0.05,192
8,Exit short,2026-05-28 16:45,session 4:45,50753,6,152013,-276,-0.18,30,840,0.55,-570,-0.37,-817,-0.08,125
