Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-05-19 16:45,session 4:45,28896.75,1,57888,89.5,0.15,5,559.5,0.97,-367,-0.63,89.5,0.01,201
1,Entry short,2026-05-19 00:00,S,28944,1,57888,89.5,0.15,5,559.5,0.97,-367,-0.63,89.5,0.01,201
2,Exit short,2026-05-20 08:15,flip,29122.75,1,57764,-486.5,-0.84,5,84,0.15,-554.5,-0.96,-397,-0.04,129
2,Entry short,2026-05-19 21:30,S,28882,1,57764,-486.5,-0.84,5,84,0.15,-554.5,-0.96,-397,-0.04,129
3,Exit long,2026-05-20 16:45,session 4:45,29300,1,58245.5,349.5,0.60,5,546,0.94,-232,-0.40,-47.5,0.00,102
3,Entry long,2026-05-20 08:15,L,29122.75,1,58245.5,349.5,0.60,5,546,0.94,-232,-0.40,-47.5,0.00,102
4,Exit short,2026-05-22 16:45,session 4:45,29528.5,1,59082.5,20.5,0.03,5,205,0.35,-415.5,-0.70,-27,0.00,141
4,Entry short,2026-05-22 05:00,S,29541.25,1,59082.5,20.5,0.03,5,205,0.35,-415.5,-0.70,-27,0.00,141
5,Exit long,2026-05-25 08:05,flip,29969.25,1,59936.5,-3,-0.01,5,41,0.07,-87,-0.15,-30,0.00,51
5,Entry long,2026-05-25 03:50,L,29968.25,1,59936.5,-3,-0.01,5,41,0.07,-87,-0.15,-30,0.00,51
6,Exit short,2026-05-26 16:45,session 4:45,30040.5,3,179815.5,-442.5,-0.25,15,1350,0.75,-906,-0.50,-472.5,-0.05,332
6,Entry short,2026-05-25 08:05,S,29969.25,3,179815.5,-442.5,-0.25,15,1350,0.75,-906,-0.50,-472.5,-0.05,332
7,Exit short,2026-05-27 16:45,session 4:45,30112.5,1,60173.5,-56.5,-0.09,5,419,0.70,-589,-0.98,-529,-0.05,173
7,Entry short,2026-05-27 02:20,S,30086.75,1,60173.5,-56.5,-0.09,5,419,0.70,-589,-0.98,-529,-0.05,173
8,Exit long,2026-05-28 19:45,flip,30303.25,1,60652,-50.5,-0.08,5,0,0.00,-64,-0.11,-579.5,-0.06,6
8,Entry long,2026-05-28 19:15,L,30326,1,60652,-50.5,-0.08,5,0,0.00,-64,-0.11,-579.5,-0.06,6
9,Exit short,2026-05-29 04:30,flip,30317.5,2,121213,-67,-0.06,10,343,0.28,-195,-0.16,-646.5,-0.06,105
9,Entry short,2026-05-28 19:45,S,30303.25,2,121213,-67,-0.06,10,343,0.28,-195,-0.16,-646.5,-0.06,105
10,Exit long,2026-05-29 16:45,session 4:45,30387.25,2,121270,269,0.22,10,868,0.72,-196,-0.16,-377.5,-0.04,147
10,Entry long,2026-05-29 04:30,L,30317.5,2,121270,269,0.22,10,868,0.72,-196,-0.16,-377.5,-0.04,147
11,Exit long,2026-06-01 16:45,session 4:45,30542.75,2,122317,-156,-0.13,10,446,0.36,-1158,-0.95,-533.5,-0.05,193
11,Entry long,2026-06-01 00:40,L,30579.25,2,122317,-156,-0.13,10,446,0.36,-1158,-0.95,-533.5,-0.05,193
12,Exit long,2026-06-02 16:45,session 4:45,30744.25,1,61110,373.5,0.61,5,414.5,0.68,-265,-0.43,-160,-0.02,97
12,Entry long,2026-06-02 08:40,L,30555,1,61110,373.5,0.61,5,414.5,0.68,-265,-0.43,-160,-0.02,97
13,Exit short,2026-06-04 16:45,session 4:45,30400.25,1,60497,-308.5,-0.51,5,190,0.31,-712,-1.18,-468.5,-0.05,84
13,Entry short,2026-06-04 09:45,S,30248.5,1,60497,-308.5,-0.51,5,190,0.31,-712,-1.18,-468.5,-0.05,84
14,Exit short,2026-06-05 16:45,session 4:45,28812.5,1,60384,2754,4.56,5,2824.5,4.68,-138.5,-0.23,2285.5,0.23,207
14,Entry short,2026-06-04 23:30,S,30192,1,60384,2754,4.56,5,2824.5,4.68,-138.5,-0.23,2285.5,0.23,207
15,Exit long,2026-06-08 16:45,session 4:45,29430,1,59097,-242,-0.41,5,386.5,0.65,-345.5,-0.58,2043.5,0.20,75
15,Entry long,2026-06-08 10:30,L,29548.5,1,59097,-242,-0.41,5,386.5,0.65,-345.5,-0.58,2043.5,0.20,75
16,Exit long,2026-06-09 16:45,session 4:45,29154.5,1,59354,-1050,-1.77,5,337.5,0.57,-2902,-4.89,993.5,0.10,127
