symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MYMU6,0,0,1.0,474083431413,474083431441,4,52571,52402,$(338.00),07/27/2026 04:20:06,07/27/2026 16:50:03,12h 29min 56sec
MCLU6,-2,0,0.01,474083431432,474083431424,2,81.99,83.03,$208.00,07/27/2026 16:50:02,07/27/2026 12:30:03,4h 19min 59sec
MNQU6,-2,0,0.25,474083431479,474083431459,1,28015.25,27986.25,$(58.00),07/28/2026 15:05:01,07/27/2026 23:30:01,15h 34min 59sec
MNQU6,-2,0,0.25,474083431490,474083431499,1,28015.00,27954.25,$(121.50),07/28/2026 15:05:01,07/28/2026 16:50:00,1h 44min 59sec
M2KU6,-2,0,0.1,474083431510,474083431469,5,2964.80,2949.30,$(387.50),07/28/2026 16:50:02,07/27/2026 23:30:10,17h 19min 51sec
MNQU6,-2,0,0.25,474083431536,474083431555,1,27931.75,27273.25,"$(1,317.00)",07/29/2026 04:50:01,07/29/2026 16:50:01,11h 59min 59sec
MYMU6,0,0,1.0,474083431545,474083431566,1,52209,51728,$(240.50),07/29/2026 14:40:06,07/29/2026 16:50:03,2h 9min 57sec
MCLU6,-2,0,0.01,474083431577,474083431528,2,84.69,82.03,$(532.00),07/29/2026 16:50:06,07/29/2026 04:00:00,12h 50min 5sec
MYMU6,0,0,1.0,474083431595,474083431621,5,51856,52444,"$1,470.00",07/30/2026 00:35:02,07/30/2026 16:50:04,16h 15min 1sec
M2KU6,-2,0,0.1,474083431604,474083431641,2,2939.50,2957.50,$180.00,07/30/2026 10:40:06,07/30/2026 16:50:12,6h 10min 6sec
MCLU6,-2,0,0.01,474083431632,474083431614,2,83.94,83.91,$(6.00),07/30/2026 16:50:04,07/30/2026 13:45:13,3h 4min 51sec
M2KU6,-2,0,0.1,474083431661,474083431727,7,2965.50,2937.30,$(987.00),07/30/2026 23:55:07,07/31/2026 16:50:01,16h 54min 54sec
MYMU6,0,0,1.0,474083431670,474083431716,6,52575,52631,$168.00,07/30/2026 23:55:14,07/31/2026 16:50:01,16h 54min 46sec
MNQU6,-2,0,0.25,474083431679,474083431689,1,28579.75,28358.00,$(443.50),07/31/2026 06:55:01,07/31/2026 09:50:01,2h 55min 
MNQU6,-2,0,0.25,474083431738,474083431700,1,28381.75,28360.25,$(43.00),07/31/2026 16:50:02,07/31/2026 09:50:02,6h 59min 59sec
MCLU6,-2,0,0.01,474083431749,474083431709,2,84.58,84.77,$38.00,07/31/2026 16:50:02,07/31/2026 14:10:05,2h 39min 56sec
