Date,Account,Instrument,Side,Quantity,Entry Time,Exit Time,Entry Price,Exit Price,Net P&L,Commission,P&L (points),P&L (ticks),MAE,MFE,Entry Efficiency,Exit Efficiency,Total Efficiency,Time In Market,Strategy Tag,Source,Edited
2026-07-20,DEMO7298826,MYM 09-26,short,4,2026-07-19 21:45:07,2026-07-20 09:35:01,52322.0,52499.0,-354.0,0,-177.0,-177.0,626.0,106.0,0.1448,0.3716,-0.4836,11:49:54,,nt8,
2026-07-20,DEMO7298826,MCL 09-26,long,3,2026-07-19 21:50:05,2026-07-20 09:35:10,83.81,81.18,-789.0,0,-2.63,-263.0,1278.0,117.0,0.0839,0.3505,-0.5656,11:45:05,,nt8,
2026-07-20,DEMO7298826,MYM 09-26,long,2,2026-07-20 09:35:01,2026-07-20 16:50:03,52499.0,52083.0,-416.0,0,-416.0,-416.0,501.0,52.0,0.094,0.1537,-0.7523,7:15:01,,nt8,
2026-07-20,DEMO7298826,MCL 09-26,short,1,2026-07-20 09:35:10,2026-07-20 16:50:04,81.18,82.48,-130.0,0,-1.3,-130.0,198.0,8.0,0.0388,0.3301,-0.6311,7:14:53,,nt8,
2026-07-21,DEMO7298826,MNQ 09-26,long,1,2026-07-21 07:50:02,2026-07-21 09:50:00,29178.25,29145.25,-66.0,0,-33.0,-132.0,166.0,137.0,0.4521,0.33,-0.2178,1:59:58,,nt8,
2026-07-21,DEMO7298826,MCL 09-26,short,4,2026-07-21 01:50:00,2026-07-21 14:35:03,81.91,84.4,-996.0,0,-2.49,-249.0,1248.0,208.0,0.1429,0.1731,-0.6841,12:45:02,,nt8,
2026-07-21,DEMO7298826,MNQ 09-26,short,1,2026-07-21 09:50:01,2026-07-21 15:55:01,29146.0,29336.75,-381.5,0,-190.75,-763.0,435.0,166.0,0.2762,0.089,-0.6348,6:04:59,,nt8,
2026-07-21,DEMO7298826,MNQ 09-26,long,1,2026-07-21 15:55:01,2026-07-21 16:50:00,29340.25,29283.0,-114.5,0,-57.25,-229.0,122.0,14.0,0.1029,0.0551,-0.8419,0:54:59,,nt8,
2026-07-21,DEMO7298826,M2K 09-26,short,4,2026-07-20 20:25:05,2026-07-21 16:50:01,2955.1,2994.7,-792.0,0,-39.6,-396.0,894.0,12.0,0.0132,0.1126,-0.8742,20:24:56,,nt8,
2026-07-21,DEMO7298826,MYM 09-26,long,4,2026-07-21 04:20:01,2026-07-21 16:50:02,52256.0,52416.0,320.0,0,160.0,160.0,336.0,670.0,0.666,0.6521,0.3181,12:30:01,,nt8,
