Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-04-06 11:15,flip,112.03,1,11165,-43,-0.39,275.5,2.47,-150.5,-1.35,-43,0.00,166
1,Entry short,2026-04-05 21:25,S,111.65,1,11165,-43,-0.39,275.5,2.47,-150.5,-1.35,-43,0.00,166
2,Exit long,2026-04-06 16:45,session 4:45,112.69,1,11203,61,0.54,227.5,2.03,-89.5,-0.80,18,0.00,66
2,Entry long,2026-04-06 11:15,L,112.03,1,11203,61,0.54,227.5,2.03,-89.5,-0.80,18,0.00,66
3,Exit long,2026-04-07 16:45,session 4:45,111.11,1,11565,-459,-3.97,198.5,1.72,-535.5,-4.63,-441,-0.04,90
3,Entry long,2026-04-07 09:15,L,115.65,1,11565,-459,-3.97,198.5,1.72,-535.5,-4.63,-441,-0.04,90
4,Exit short,2026-04-08 06:55,flip,94.93,1,9556,58,0.61,143.5,1.50,-114.5,-1.20,-383,-0.04,65
4,Entry short,2026-04-08 01:30,S,95.56,1,9556,58,0.61,143.5,1.50,-114.5,-1.20,-383,-0.04,65
5,Exit long,2026-04-08 07:10,flip,94.38,1,9493,-60,-0.63,34.5,0.36,-66.5,-0.70,-443,-0.04,3
5,Entry long,2026-04-08 06:55,L,94.93,1,9493,-60,-0.63,34.5,0.36,-66.5,-0.70,-443,-0.04,3
6,Exit short,2026-04-08 16:45,session 4:45,96.38,1,9438,-205,-2.17,252.5,2.67,-256.5,-2.72,-648,-0.06,115
6,Entry short,2026-04-08 07:10,S,94.38,1,9438,-205,-2.17,252.5,2.67,-256.5,-2.72,-648,-0.06,115
7,Exit long,2026-04-09 02:55,flip,97.02,2,19432,-38,-0.20,179,0.92,-55,-0.28,-686,-0.07,38
7,Entry long,2026-04-08 23:45,L,97.16,2,19432,-38,-0.20,179,0.92,-55,-0.28,-686,-0.07,38
8,Exit short,2026-04-09 03:40,flip,97.54,2,19404,-114,-0.59,5,0.03,-147,-0.76,-800,-0.08,9
8,Entry short,2026-04-09 02:55,S,97.02,2,19404,-114,-0.59,5,0.03,-147,-0.76,-800,-0.08,9
9,Exit long,2026-04-09 16:45,session 4:45,98.45,2,19508,172,0.88,1025,5.25,-463,-2.37,-628,-0.06,157
9,Entry long,2026-04-09 03:40,L,97.54,2,19508,172,0.88,1025,5.25,-463,-2.37,-628,-0.06,157
10,Exit short,2026-04-10 10:40,flip,98.72,1,9757,-120,-1.23,31.5,0.32,-148.5,-1.52,-748,-0.07,4
10,Entry short,2026-04-10 10:20,S,97.57,1,9757,-120,-1.23,31.5,0.32,-148.5,-1.52,-748,-0.07,4
11,Exit long,2026-04-10 16:45,session 4:45,95.71,1,9872,-306,-3.10,76.5,0.77,-323.5,-3.28,-1054,-0.11,73
11,Entry long,2026-04-10 10:40,L,98.72,1,9872,-306,-3.10,76.5,0.77,-323.5,-3.28,-1054,-0.11,73
12,Exit short,2026-04-13 16:45,session 4:45,97.88,2,20782,1196,5.75,1371,6.60,-9,-0.04,142,0.01,97
12,Entry short,2026-04-13 08:40,S,103.91,2,20782,1196,5.75,1371,6.60,-9,-0.04,142,0.01,97
13,Exit long,2026-04-14 04:50,flip,96.52,3,29133,-192,-0.66,178.5,0.61,-580.5,-1.99,-50,0.00,41
13,Entry long,2026-04-14 01:25,L,97.11,3,29133,-192,-0.66,178.5,0.61,-580.5,-1.99,-50,0.00,41
