Time,Category,Message,
7/17/2026 4:52:56 PM,Connection,Simulation: Primary connection=Connected Price feed=Connected,
7/17/2026 4:52:55 PM,Connection,Simulation: Primary connection=Connected Price feed=Connection lost,
7/17/2026 4:50:06 PM,Position,Instrument='MCL SEP26' Account='DEMO7298826' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/17/2026 4:50:06 PM,Execution,Execution='474083430882_1' Instrument='MCL SEP26' Account='DEMO7298826' Exchange=Default Price=81.71 Quantity=2 Market position=Short Operation=Operation_Add Order='474083430882' Time='7/17/2026 4:50 PM',
7/17/2026 4:50:06 PM,Order,Order='474083430882/DEMO7298826' Name='Close' New state='Filled' Instrument='MCL SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=2 Type='Market' Time in force=DAY Oco='' Filled=2 Fill price=81.71 Error='No error' Native error='',
7/17/2026 4:50:05 PM,Order,Order='474083430882/DEMO7298826' Name='Close' New state='Working' Instrument='MCL SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=2 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 4:50:05 PM,Order,Order='474083430882/DEMO7298826' Name='Close' New state='Accepted' Instrument='MCL SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=2 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 4:50:05 PM,Order,Order='474083430882/DEMO7298826' Name='Close' New state='Submitted' Instrument='MCL SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=2 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 4:50:05 PM,Position,Flatten account='DEMO7298826',
7/17/2026 4:50:03 PM,Position,Instrument='MYM SEP26' Account='DEMO7298826' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/17/2026 4:50:03 PM,Execution,Execution='474083430871_1' Instrument='MYM SEP26' Account='DEMO7298826' Exchange=Default Price=52373 Quantity=3 Market position=Short Operation=Operation_Add Order='474083430871' Time='7/17/2026 4:50 PM',
7/17/2026 4:50:03 PM,Order,Order='474083430871/DEMO7298826' Name='Close' New state='Filled' Instrument='MYM SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=3 Fill price=52373 Error='No error' Native error='',
7/17/2026 4:50:03 PM,Order,Order='474083430871/DEMO7298826' Name='Close' New state='Working' Instrument='MYM SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 4:50:03 PM,Order,Order='474083430871/DEMO7298826' Name='Close' New state='Accepted' Instrument='MYM SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 4:50:03 PM,Order,Order='474083430871/DEMO7298826' Name='Close' New state='Submitted' Instrument='MYM SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 4:50:03 PM,Position,Flatten account='DEMO7298826',
7/17/2026 4:50:02 PM,Position,Instrument='MNQ SEP26' Account='DEMO7298826' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/17/2026 4:50:02 PM,Execution,Execution='474083430860_1' Instrument='MNQ SEP26' Account='DEMO7298826' Exchange=Default Price=28757.5 Quantity=1 Market position=Long Operation=Operation_Add Order='474083430860' Time='7/17/2026 4:50 PM',
7/17/2026 4:50:02 PM,Order,Order='474083430860/DEMO7298826' Name='Close' New state='Filled' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=1 Fill price=28757.5 Error='No error' Native error='',
7/17/2026 4:50:02 PM,Order,Order='474083430860/DEMO7298826' Name='Close' New state='Working' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 4:50:02 PM,Order,Order='474083430860/DEMO7298826' Name='Close' New state='Accepted' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 4:50:02 PM,Order,Order='474083430860/DEMO7298826' Name='Close' New state='Submitted' Instrument='MNQ SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=1 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 4:50:01 PM,Position,Flatten account='DEMO7298826',
7/17/2026 12:05:01 PM,Connection,Simulation: Primary connection=Connected Price feed=Connected,
7/17/2026 12:05:00 PM,Connection,Simulation: Primary connection=Connected Price feed=Connection lost,
7/17/2026 11:19:58 AM,Connection,Simulation: Primary connection=Connected Price feed=Connected,
7/17/2026 11:19:56 AM,Connection,Simulation: Primary connection=Connection lost Price feed=Connected,
7/17/2026 6:15:00 AM,Position,Instrument='MYM SEP26' Account='DEMO7298826' Average price=52462 Quantity=3 Market position=Long Operation=Operation_Add,
7/17/2026 6:15:00 AM,Execution,Execution='474083430851_1' Instrument='MYM SEP26' Account='DEMO7298826' Exchange=Default Price=52462 Quantity=3 Market position=Long Operation=Operation_Add Order='474083430851' Time='7/17/2026 6:15 AM',
7/17/2026 6:15:00 AM,Order,Order='474083430851/DEMO7298826' Name='' New state='Filled' Instrument='MYM SEP26' Action='Buy' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=3 Fill price=52462 Error='No error' Native error='',
7/17/2026 6:15:00 AM,Order,Order='474083430851/DEMO7298826' Name='' New state='Working' Instrument='MYM SEP26' Action='Buy' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 6:15:00 AM,Order,Order='474083430851/DEMO7298826' Name='' New state='Accepted' Instrument='MYM SEP26' Action='Buy' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 6:15:00 AM,Order,Order='474083430851/DEMO7298826' Name='' New state='Submitted' Instrument='MYM SEP26' Action='Buy' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 6:15:00 AM,Position,Instrument='MYM SEP26' Account='DEMO7298826' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/17/2026 6:15:00 AM,Execution,Execution='474083430840_1' Instrument='MYM SEP26' Account='DEMO7298826' Exchange=Default Price=52462 Quantity=5 Market position=Long Operation=Operation_Add Order='474083430840' Time='7/17/2026 6:15 AM',
7/17/2026 6:15:00 AM,Order,Order='474083430840/DEMO7298826' Name='Close' New state='Filled' Instrument='MYM SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=5 Type='Market' Time in force=DAY Oco='' Filled=5 Fill price=52462 Error='No error' Native error='',
7/17/2026 6:15:00 AM,Order,Order='474083430840/DEMO7298826' Name='Close' New state='Working' Instrument='MYM SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=5 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
