Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-05-19 16:45,session 4:45,104.12,4,41136,492,1.20,810,1.97,-134,-0.33,492,0.05,193
1,Entry long,2026-05-19 00:40,L,102.84,4,41136,492,1.20,810,1.97,-134,-0.33,492,0.05,193
2,Exit long,2026-05-20 01:15,flip,103.74,3,31302,-195,-0.62,28.5,0.09,-373.5,-1.19,297,0.03,84
2,Entry long,2026-05-19 18:15,L,104.34,3,31302,-195,-0.62,28.5,0.09,-373.5,-1.19,297,0.03,84
3,Exit short,2026-05-20 16:45,session 4:45,98.91,3,31122,1434,4.61,2065.5,6.64,-88.5,-0.28,1731,0.17,186
3,Entry short,2026-05-20 01:15,S,103.74,3,31122,1434,4.61,2065.5,6.64,-88.5,-0.28,1731,0.17,186
4,Exit long,2026-05-21 16:45,session 4:45,98.13,3,29766,-342,-1.15,1018.5,3.42,-1045.5,-3.51,1389,0.14,183
4,Entry long,2026-05-21 01:30,L,99.22,3,29766,-342,-1.15,1018.5,3.42,-1045.5,-3.51,1389,0.14,183
5,Exit short,2026-05-22 16:45,session 4:45,96.84,1,9759,70,0.72,283.5,2.90,-186.5,-1.91,1459,0.15,270
5,Entry short,2026-05-21 18:15,S,97.59,1,9759,70,0.72,283.5,2.90,-186.5,-1.91,1459,0.15,270
6,Exit short,2026-05-26 15:15,flip,93.93,2,18210,-586,-3.22,321,1.76,-733,-4.02,873,0.09,421
6,Entry short,2026-05-25 00:40,S,91.05,2,18210,-586,-3.22,321,1.76,-733,-4.02,873,0.09,421
7,Exit long,2026-05-26 16:40,flip,93.65,2,18786,-66,-0.35,19,0.10,-151,-0.80,807,0.08,17
7,Entry long,2026-05-26 15:15,L,93.93,2,18786,-66,-0.35,19,0.10,-151,-0.80,807,0.08,17
8,Exit short,2026-05-26 16:45,session 4:45,93.62,3,28095,-6,-0.02,16.5,0.06,-7.5,-0.03,801,0.08,1
8,Entry short,2026-05-26 16:40,S,93.65,3,28095,-6,-0.02,16.5,0.06,-7.5,-0.03,801,0.08,1
9,Exit short,2026-05-27 16:45,session 4:45,89.44,4,36776,980,2.66,1642,4.46,-126,-0.34,1781,0.18,191
9,Entry short,2026-05-27 00:50,S,91.94,4,36776,980,2.66,1642,4.46,-126,-0.34,1781,0.18,191
10,Exit long,2026-05-28 12:15,flip,89.15,2,18120,-300,-1.66,385,2.12,-725,-4.00,1481,0.15,163
10,Entry long,2026-05-27 22:40,L,90.6,2,18120,-300,-1.66,385,2.12,-725,-4.00,1481,0.15,163
11,Exit short,2026-05-28 16:45,session 4:45,88.75,1,8915,35,0.39,110.5,1.24,-51.5,-0.58,1516,0.15,54
11,Entry short,2026-05-28 12:15,S,89.15,1,8915,35,0.39,110.5,1.24,-51.5,-0.58,1516,0.15,54
12,Exit short,2026-05-29 16:45,session 4:45,87.8,2,17556,-14,-0.08,283,1.61,-257,-1.46,1502,0.15,194
12,Entry short,2026-05-29 00:35,S,87.78,2,17556,-14,-0.08,283,1.61,-257,-1.46,1502,0.15,194
13,Exit long,2026-06-01 16:45,session 4:45,92.39,4,35888,1048,2.92,2018,5.62,-198,-0.55,2550,0.26,184
13,Entry long,2026-06-01 01:25,L,89.72,4,35888,1048,2.92,2018,5.62,-198,-0.55,2550,0.26,184
14,Exit short,2026-06-02 16:45,session 4:45,93.44,2,18442,-256,-1.39,415,2.25,-363,-1.97,2294,0.23,268
14,Entry short,2026-06-01 18:25,S,92.21,2,18442,-256,-1.39,415,2.25,-363,-1.97,2294,0.23,268
15,Exit long,2026-06-03 09:00,flip,95.63,2,18986,130,0.68,409,2.15,-91,-0.48,2424,0.24,142
15,Entry long,2026-06-02 21:10,L,94.93,2,18986,130,0.68,409,2.15,-91,-0.48,2424,0.24,142
16,Exit short,2026-06-03 13:10,flip,96.15,2,19126,-114,-0.60,255,1.33,-143,-0.75,2310,0.23,50
16,Entry short,2026-06-03 09:00,S,95.63,2,19126,-114,-0.60,255,1.33,-143,-0.75,2310,0.23,50
17,Exit long,2026-06-03 16:45,session 4:45,96.35,1,9615,15,0.16,39.5,0.41,-54.5,-0.57,2325,0.23,43
17,Entry long,2026-06-03 13:10,L,96.15,1,9615,15,0.16,39.5,0.41,-54.5,-0.57,2325,0.23,43
18,Exit short,2026-06-04 03:35,flip,95.28,3,28590,-9,-0.03,151.5,0.53,-100.5,-0.35,2316,0.23,80
18,Entry short,2026-06-03 20:55,S,95.3,3,28590,-9,-0.03,151.5,0.53,-100.5,-0.35,2316,0.23,80
19,Exit long,2026-06-04 07:10,flip,94.59,2,19056,-148,-0.78,79,0.41,-249,-1.31,2168,0.22,43
19,Entry long,2026-06-04 03:35,L,95.28,2,19056,-148,-0.78,79,0.41,-249,-1.31,2168,0.22,43
20,Exit short,2026-06-04 14:25,flip,93.07,2,18918,294,1.55,533,2.82,-15,-0.08,2462,0.25,87
20,Entry short,2026-06-04 07:10,S,94.59,2,18918,294,1.55,533,2.82,-15,-0.08,2462,0.25,87
21,Exit long,2026-06-04 16:45,session 4:45,93.01,2,18614,-22,-0.12,73,0.39,-31,-0.17,2440,0.24,28
21,Entry long,2026-06-04 14:25,L,93.07,2,18614,-22,-0.12,73,0.39,-31,-0.17,2440,0.24,28
22,Exit long,2026-06-04 20:25,flip,92.71,6,55770,-174,-0.31,51,0.09,-183,-0.33,2266,0.23,9
22,Entry long,2026-06-04 19:40,L,92.95,6,55770,-174,-0.31,51,0.09,-183,-0.33,2266,0.23,9
23,Exit short,2026-06-04 21:25,flip,93.08,4,37084,-168,-0.45,62,0.17,-190,-0.51,2098,0.21,12
23,Entry short,2026-06-04 20:25,S,92.71,4,37084,-168,-0.45,62,0.17,-190,-0.51,2098,0.21,12
24,Exit long,2026-06-05 01:25,flip,93.04,3,27924,-27,-0.10,136.5,0.49,-52.5,-0.19,2071,0.21,48
24,Entry long,2026-06-04 21:25,L,93.08,3,27924,-27,-0.10,136.5,0.49,-52.5,-0.19,2071,0.21,48
25,Exit short,2026-06-05 16:45,session 4:45,90.25,4,37216,1096,2.94,1346,3.62,-286,-0.77,3167,0.32,184
25,Entry short,2026-06-05 01:25,S,93.04,4,37216,1096,2.94,1346,3.62,-286,-0.77,3167,0.32,184
26,Exit long,2026-06-08 11:40,flip,91.49,2,18712,-424,-2.27,379,2.02,-637,-3.40,2743,0.27,174
26,Entry long,2026-06-07 21:10,L,93.56,2,18712,-424,-2.27,379,2.02,-637,-3.40,2743,0.27,174
27,Exit short,2026-06-08 16:45,session 4:45,91.24,1,9149,20,0.22,70.5,0.77,-32.5,-0.36,2763,0.28,61
27,Entry short,2026-06-08 11:40,S,91.49,1,9149,20,0.22,70.5,0.77,-32.5,-0.36,2763,0.28,61
28,Exit short,2026-06-09 16:45,session 4:45,88.73,2,17804,48,0.27,609,3.42,-157,-0.88,2811,0.28,118
28,Entry short,2026-06-09 06:55,S,89.02,2,17804,48,0.27,609,3.42,-157,-0.88,2811,0.28,118
29,Exit long,2026-06-10 03:10,flip,87.85,2,17852,-292,-1.64,23,0.13,-335,-1.88,2519,0.25,63
29,Entry long,2026-06-09 21:55,L,89.26,2,17852,-292,-1.64,23,0.13,-335,-1.88,2519,0.25,63
30,Exit short,2026-06-10 16:45,session 4:45,91.68,2,17570,-776,-4.42,85,0.48,-803,-4.57,1743,0.17,163
30,Entry short,2026-06-10 03:10,S,87.85,2,17570,-776,-4.42,85,0.48,-803,-4.57,1743,0.17,163
31,Exit short,2026-06-11 16:45,session 4:45,86.41,2,17888,596,3.33,739,4.13,-415,-2.32,2339,0.23,129
31,Entry short,2026-06-11 06:00,S,89.44,2,17888,596,3.33,739,4.13,-415,-2.32,2339,0.23,129
32,Exit short,2026-06-12 16:45,session 4:45,84.28,2,17192,326,1.90,555,3.23,-265,-1.54,2665,0.27,158
32,Entry short,2026-06-12 03:35,S,85.96,2,17192,326,1.90,555,3.23,-265,-1.54,2665,0.27,158
33,Exit short,2026-06-15 04:00,flip,80.41,2,16114,22,0.14,171,1.06,-39,-0.24,2687,0.27,18
33,Entry short,2026-06-15 02:30,S,80.57,2,16114,22,0.14,171,1.06,-39,-0.24,2687,0.27,18
34,Exit long,2026-06-15 04:40,flip,80.3,2,16082,-32,-0.20,91,0.57,-55,-0.34,2655,0.27,8
34,Entry long,2026-06-15 04:00,L,80.41,2,16082,-32,-0.20,91,0.57,-55,-0.34,2655,0.27,8
35,Exit short,2026-06-15 07:40,flip,80.46,2,16060,-42,-0.26,63,0.39,-85,-0.53,2613,0.26,36
35,Entry short,2026-06-15 04:40,S,80.3,2,16060,-42,-0.26,63,0.39,-85,-0.53,2613,0.26,36
36,Exit long,2026-06-15 08:20,flip,80.33,2,16092,-36,-0.22,25,0.16,-61,-0.38,2577,0.26,8
36,Entry long,2026-06-15 07:40,L,80.46,2,16092,-36,-0.22,25,0.16,-61,-0.38,2577,0.26,8
37,Exit short,2026-06-15 09:10,flip,80.47,2,16066,-38,-0.24,69,0.43,-33,-0.21,2539,0.25,10
37,Entry short,2026-06-15 08:20,S,80.33,2,16066,-38,-0.24,69,0.43,-33,-0.21,2539,0.25,10
38,Exit long,2026-06-15 09:55,flip,80.23,2,16094,-58,-0.36,37,0.23,-57,-0.35,2481,0.25,9
38,Entry long,2026-06-15 09:10,L,80.47,2,16094,-58,-0.36,37,0.23,-57,-0.35,2481,0.25,9
39,Exit short,2026-06-15 10:55,flip,80.48,2,16046,-60,-0.37,83,0.52,-59,-0.37,2421,0.24,12
39,Entry short,2026-06-15 09:55,S,80.23,2,16046,-60,-0.37,83,0.52,-59,-0.37,2421,0.24,12
40,Exit long,2026-06-15 16:45,session 4:45,81.17,2,16096,128,0.79,223,1.39,-95,-0.59,2549,0.25,70
40,Entry long,2026-06-15 10:55,L,80.48,2,16096,128,0.79,223,1.39,-95,-0.59,2549,0.25,70
41,Exit short,2026-06-16 16:45,session 4:45,76.72,2,15158,-196,-1.29,29,0.19,-281,-1.85,2353,0.24,40
41,Entry short,2026-06-16 13:25,S,75.79,2,15158,-196,-1.29,29,0.19,-281,-1.85,2353,0.24,40
42,Exit short,2026-06-17 03:55,flip,75,4,30316,296,0.98,666,2.20,-58,-0.19,2649,0.26,89
42,Entry short,2026-06-16 20:30,S,75.79,4,30316,296,0.98,666,2.20,-58,-0.19,2649,0.26,89
43,Exit long,2026-06-17 15:05,flip,75.77,2,15000,144,0.96,789,5.26,-45,-0.30,2793,0.28,134
