ts,event,ticker,side,rating,price,atr,align,reason,option_symbol,expiration,dte,strike,opt_type,bid,ask,mid,spread_pct,delta,theta,mid_iv,open_interest,volume,breakeven_move,gates,score,rejected,sig_ticker,sig_side,sig_rating,sig_align
2026-07-22T10:05:00,signal,SPY,BUY,7,748.97,0.5103,RIDE_both,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22T10:05:02,candidate,,,,,,,,SPY260722C00744000,2026-07-22,0,744.0,call,4.25,4.26,4.255,0.0024,0.781,-0.7215,0.1468,1592,2297,-0.715,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.646,,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260722C00745000,2026-07-22,0,745.0,call,3.44,3.45,3.445,0.0029,0.734,-0.89,0.1414,5995,4619,-0.525,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.66,,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260722C00746000,2026-07-22,0,746.0,call,2.69,2.71,2.7,0.0074,0.676,-0.9725,0.1395,9201,11983,-0.27,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.7567,,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260722C00747000,2026-07-22,0,747.0,call,2.02,2.04,2.03,0.0099,0.609,-1.0081,0.1341,9429,29248,0.06,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.7199,,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260722C00748000,2026-07-22,0,748.0,call,1.45,1.46,1.455,0.0069,0.533,-1.0213,0.1316,9027,49627,0.485,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.51,,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260723C00742000,2026-07-23,1,742.0,call,6.8,6.86,6.83,0.0088,0.781,-0.6537,0.157,492,60,-0.14,spread=P;open_interest=F;volume=F;iv=P;breakeven=P,-1.0,open_interest,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260723C00743000,2026-07-23,1,743.0,call,6.0,6.04,6.02,0.0066,0.749,-0.6857,0.1507,1396,137,0.05,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.7341,,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260723C00744000,2026-07-23,1,744.0,call,5.23,5.26,5.245,0.0057,0.713,-0.7156,0.1475,1324,211,0.275,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.732,,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260723C00745000,2026-07-23,1,745.0,call,4.49,4.53,4.51,0.0089,0.672,-0.7418,0.144,2863,238,0.54,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.7259,,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260723C00746000,2026-07-23,1,746.0,call,3.8,3.84,3.82,0.0105,0.626,-0.7614,0.1406,2106,783,0.85,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260723C00747000,2026-07-23,1,747.0,call,3.15,3.17,3.16,0.0063,0.578,-0.771,0.1367,2425,3145,1.19,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260723C00748000,2026-07-23,1,748.0,call,2.58,2.59,2.585,0.0039,0.526,-0.7683,0.1331,6577,4146,1.615,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260724C00740000,2026-07-24,2,740.0,call,9.08,9.44,9.26,0.0389,0.794,-0.5977,0.1605,3443,56,0.29,spread=P;open_interest=P;volume=F;iv=P;breakeven=P,-1.0,volume,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260724C00741000,2026-07-24,2,741.0,call,8.23,8.55,8.39,0.0381,0.773,-0.6104,0.1563,950,450,0.42,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.4433,,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260724C00742000,2026-07-24,2,742.0,call,7.47,7.73,7.6,0.0342,0.748,-0.6212,0.1534,2447,151,0.63,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260724C00743000,2026-07-24,2,743.0,call,6.72,6.8,6.76,0.0118,0.722,-0.6298,0.1479,3875,35,0.79,spread=P;open_interest=P;volume=F;iv=P;breakeven=F,-1.0,volume,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260724C00744000,2026-07-24,2,744.0,call,5.95,6.05,6.0,0.0167,0.691,-0.6366,0.1455,3450,25,1.03,spread=P;open_interest=P;volume=F;iv=P;breakeven=F,-1.0,volume,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260724C00745000,2026-07-24,2,745.0,call,5.25,5.31,5.28,0.0114,0.657,-0.6401,0.1417,9803,220,1.31,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260724C00746000,2026-07-24,2,746.0,call,4.57,4.63,4.6,0.013,0.62,-0.6398,0.1386,6866,1406,1.63,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260724C00747000,2026-07-24,2,747.0,call,3.92,3.95,3.935,0.0076,0.579,-0.6346,0.1357,6614,1415,1.965,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,BUY,7,RIDE_both
2026-07-22T10:05:02,candidate,,,,,,,,SPY260724C00748000,2026-07-24,2,748.0,call,3.33,3.34,3.335,0.003,0.535,-0.6239,0.1323,4592,2240,2.365,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,BUY,7,RIDE_both
