ts,event,ticker,side,rating,price,atr,align,reason,option_symbol,expiration,dte,strike,opt_type,bid,ask,mid,spread_pct,delta,theta,mid_iv,open_interest,volume,breakeven_move,gates,score,rejected,sig_ticker,sig_side,sig_rating,sig_align
2026-07-23T13:35:04,signal,SPY,SELL,-3,738.09,0.7603,RIDE_both,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23T13:35:04,no_trade,SPY,,,,,,rating -3 below min 5 — Scout entries not taken in options,,,,,,,,,,,,,,,,,,,,,,
2026-07-23T13:40:04,signal,QQQ,SELL,-7,691.52,1.1287,RIDE_both,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260723P00693000,2026-07-23,0,693.0,put,1.52,1.55,1.535,0.0195,0.556,-1.4887,0.3577,1059,150067,0.055,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6385,,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260723P00694000,2026-07-23,0,694.0,put,2.0,2.01,2.005,0.005,0.64,-1.078,0.3537,4697,135208,-0.475,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.7833,,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260723P00695000,2026-07-23,0,695.0,put,2.6,2.62,2.61,0.0077,0.718,-0.7641,0.3462,4960,113713,-0.87,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6867,,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260723P00696000,2026-07-23,0,696.0,put,3.3,3.32,3.31,0.006,0.784,-0.5362,0.3449,2398,68468,-1.17,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6471,,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260724P00693000,2026-07-24,1,693.0,put,4.39,4.41,4.4,0.0045,0.509,-2.1877,0.309,2102,14925,2.92,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260724P00694000,2026-07-24,1,694.0,put,4.83,4.87,4.85,0.0082,0.544,-2.1552,0.3057,4529,17788,2.37,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260724P00695000,2026-07-24,1,695.0,put,5.32,5.34,5.33,0.0038,0.578,-2.1086,0.3021,9700,44491,1.85,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260724P00696000,2026-07-24,1,696.0,put,5.82,5.85,5.835,0.0051,0.612,-2.0475,0.2988,2158,9696,1.355,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260724P00697000,2026-07-24,1,697.0,put,6.36,6.4,6.38,0.0063,0.645,-1.9729,0.2956,2297,6457,0.9,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.7119,,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260724P00698000,2026-07-24,1,698.0,put,6.94,6.98,6.96,0.0057,0.678,-1.8851,0.2922,4216,3945,0.48,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.7108,,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260724P00699000,2026-07-24,1,699.0,put,7.55,7.62,7.585,0.0092,0.709,-1.7853,0.2886,4096,2573,0.105,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.7041,,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260724P00700000,2026-07-24,1,700.0,put,8.21,8.32,8.265,0.0133,0.74,-1.6749,0.2858,33528,31656,-0.215,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6879,,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260724P00701000,2026-07-24,1,701.0,put,8.92,8.97,8.945,0.0056,0.769,-1.4654,0.2821,1688,1835,-0.535,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6706,,QQQ,SELL,-7,RIDE_both
2026-07-23T13:40:05,candidate,,,,,,,,QQQ260724P00702000,2026-07-24,1,702.0,put,9.62,9.7,9.66,0.0083,0.796,-1.235,0.2614,2550,2108,-0.82,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6544,,QQQ,SELL,-7,RIDE_both
2026-07-23T15:40:04,signal,QQQ,SELL,-7,690.24,0.9098,RIDE_both,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23T15:40:05,signal,SPY,SELL,-7,736.89,0.5941,RIDE_both,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23T15:40:06,candidate,,,,,,,,QQQ260724P00691000,2026-07-24,1,691.0,put,4.3,4.35,4.325,0.0116,0.519,-2.4291,0.3131,4975,18039,3.565,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,QQQ,SELL,-7,RIDE_both
2026-07-23T15:40:06,candidate,,,,,,,,QQQ260724P00692000,2026-07-24,1,692.0,put,4.75,4.77,4.76,0.0042,0.548,-2.3988,0.3143,1438,28312,3.0,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,QQQ,SELL,-7,RIDE_both
2026-07-23T15:40:06,candidate,,,,,,,,QQQ260724P00693000,2026-07-24,1,693.0,put,5.22,5.26,5.24,0.0076,0.583,-2.3475,0.3111,2102,17684,2.48,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,QQQ,SELL,-7,RIDE_both
2026-07-23T15:40:06,candidate,,,,,,,,QQQ260724P00694000,2026-07-24,1,694.0,put,5.75,5.77,5.76,0.0035,0.621,-2.2773,0.3016,4529,20006,2.0,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,QQQ,SELL,-7,RIDE_both
2026-07-23T15:40:06,candidate,,,,,,,,QQQ260724P00695000,2026-07-24,1,695.0,put,6.31,6.34,6.325,0.0047,0.651,-2.1881,0.3034,9700,48962,1.565,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,QQQ,SELL,-7,RIDE_both
2026-07-23T15:40:06,candidate,,,,,,,,QQQ260724P00696000,2026-07-24,1,696.0,put,6.94,6.99,6.965,0.0072,0.685,-2.0807,0.2993,2158,10597,1.205,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,QQQ,SELL,-7,RIDE_both
2026-07-23T15:40:06,candidate,,,,,,,,QQQ260724P00697000,2026-07-24,1,697.0,put,7.58,7.62,7.6,0.0053,0.722,-1.9564,0.2885,2297,7028,0.84,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.5877,,QQQ,SELL,-7,RIDE_both
2026-07-23T15:40:06,candidate,,,,,,,,QQQ260724P00698000,2026-07-24,1,698.0,put,8.23,8.33,8.28,0.0121,0.751,-1.81,0.2922,4216,4176,0.52,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.5996,,QQQ,SELL,-7,RIDE_both
2026-07-23T15:40:06,candidate,,,,,,,,QQQ260724P00699000,2026-07-24,1,699.0,put,8.98,9.03,9.005,0.0056,0.782,-1.5031,0.2885,4096,2836,0.245,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6195,,QQQ,SELL,-7,RIDE_both
2026-07-23T15:40:07,candidate,,,,,,,,SPY260724P00738000,2026-07-24,1,738.0,put,2.92,2.94,2.93,0.0068,0.546,-1.5015,0.1836,4556,58544,1.82,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,SELL,-7,RIDE_both
2026-07-23T15:40:07,candidate,,,,,,,,SPY260724P00739000,2026-07-24,1,739.0,put,3.41,3.44,3.425,0.0088,0.603,-1.4375,0.1794,3879,49509,1.315,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,SELL,-7,RIDE_both
2026-07-23T15:40:07,candidate,,,,,,,,SPY260724P00740000,2026-07-24,1,740.0,put,3.91,3.95,3.93,0.0102,0.66,-1.3513,0.1754,33972,60192,0.82,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,SELL,-7,RIDE_both
2026-07-23T15:40:07,candidate,,,,,,,,SPY260724P00741000,2026-07-24,1,741.0,put,4.55,4.59,4.57,0.0088,0.714,-1.2417,0.1712,3189,18112,0.46,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6159,,SPY,SELL,-7,RIDE_both
2026-07-23T15:40:07,candidate,,,,,,,,SPY260724P00742000,2026-07-24,1,742.0,put,5.22,5.26,5.24,0.0076,0.765,-1.0388,0.167,5072,10323,0.13,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6279,,SPY,SELL,-7,RIDE_both
